run_id,emb_dim,num_filters,kernel_size,class_weight,dense_units,dropout_rate,epochs,batch_size,accuracy,precision,recall,f1_score
1,8,32,3,TRUE,16,0,10,16,0.322580645,0.243340869,0.322580645,0.261770973
2,8,32,3,TRUE,16,0,20,16,0.397849462,0.504398827,0.397849462,0.405406022
3,8,32,3,TRUE,16,0.5,10,16,0.612903226,0.678300723,0.612903226,0.538612414
4,8,32,3,TRUE,16,0.5,20,16,0.537634409,0.700278814,0.537634409,0.52827165
5,8,32,3,TRUE,16,0.8,10,16,0.440860215,0.370118846,0.440860215,0.364135209
6,8,32,3,TRUE,16,0.8,20,16,0.440860215,0.437625218,0.440860215,0.414225872
7,8,32,3,TRUE,32,0,10,16,0.462365591,0.397849462,0.462365591,0.41827957
8,8,32,3,TRUE,32,0,20,16,0.64516129,0.654275474,0.64516129,0.589193519
9,8,32,3,TRUE,32,0.5,10,16,0.387096774,0.526610863,0.387096774,0.362641299
10,8,32,3,TRUE,32,0.5,20,16,0.602150538,0.670653075,0.602150538,0.579712297
11,8,32,3,TRUE,32,0.8,10,16,0.47311828,0.487691665,0.47311828,0.415493975
12,8,32,3,TRUE,32,0.8,20,16,0.430107527,0.570852535,0.430107527,0.420063184
13,8,32,3,FALSE,16,0,10,16,0.580645161,0.491039427,0.580645161,0.466725425
14,8,32,3,FALSE,16,0,20,16,0.580645161,0.457596963,0.580645161,0.487560455
15,8,32,3,FALSE,16,0.5,10,16,0.569892473,0.584946237,0.569892473,0.473919722
16,8,32,3,FALSE,16,0.5,20,16,0.569892473,0.49379288,0.569892473,0.480277142
17,8,32,3,FALSE,16,0.8,10,16,0.47311828,0.314218927,0.47311828,0.353046595
18,8,32,3,FALSE,16,0.8,20,16,0.569892473,0.556684112,0.569892473,0.462148854
19,8,32,3,FALSE,32,0,10,16,0.623655914,0.555431961,0.623655914,0.545826933
20,8,32,3,FALSE,32,0,20,16,0.602150538,0.521049754,0.602150538,0.520383637
21,8,32,3,FALSE,32,0.5,10,16,0.494623656,0.529749569,0.494623656,0.408020279
22,8,32,3,FALSE,32,0.5,20,16,0.580645161,0.586693548,0.580645161,0.491278375
23,8,32,3,FALSE,32,0.8,10,16,0.537634409,0.34908222,0.537634409,0.406156723
24,8,32,3,FALSE,32,0.8,20,16,0.569892473,0.56938044,0.569892473,0.467584146
25,8,32,8,TRUE,16,0,10,16,0.344086022,0.264924828,0.344086022,0.283559974
26,8,32,8,TRUE,16,0,20,16,0.440860215,0.483043838,0.440860215,0.426830517
27,8,32,8,TRUE,16,0.5,10,16,0.322580645,0.210186942,0.322580645,0.241488216
28,8,32,8,TRUE,16,0.5,20,16,0.569892473,0.804254892,0.569892473,0.621058926
29,8,32,8,TRUE,16,0.8,10,16,0.311827957,0.31825993,0.311827957,0.223169419
30,8,32,8,TRUE,16,0.8,20,16,0.483870968,0.410826845,0.483870968,0.403198235
31,8,32,8,TRUE,32,0,10,16,0.419354839,0.833691756,0.419354839,0.410103809
32,8,32,8,TRUE,32,0,20,16,0.731182796,0.764555954,0.731182796,0.735688615
33,8,32,8,TRUE,32,0.5,10,16,0.397849462,0.401239312,0.397849462,0.311327435
34,8,32,8,TRUE,32,0.5,20,16,0.602150538,0.817249723,0.602150538,0.609746642
35,8,32,8,TRUE,32,0.8,10,16,0.591397849,0.431780167,0.591397849,0.478625151
36,8,32,8,TRUE,32,0.8,20,16,0.52688172,0.501493513,0.52688172,0.491368819
37,8,32,8,FALSE,16,0,10,16,0.623655914,0.603031906,0.623655914,0.55331825
38,8,32,8,FALSE,16,0,20,16,0.741935484,0.709384164,0.741935484,0.701972545
39,8,32,8,FALSE,16,0.5,10,16,0.52688172,0.37265745,0.52688172,0.409050179
40,8,32,8,FALSE,16,0.5,20,16,0.569892473,0.541991101,0.569892473,0.455540441
41,8,32,8,FALSE,16,0.8,10,16,0.268817204,0.072262689,0.268817204,0.113905595
42,8,32,8,FALSE,16,0.8,20,16,0.537634409,0.364958887,0.537634409,0.412720201
43,8,32,8,FALSE,32,0,10,16,0.623655914,0.501792115,0.623655914,0.539861185
44,8,32,8,FALSE,32,0,20,16,0.655913978,0.519921043,0.655913978,0.571316975
45,8,32,8,FALSE,32,0.5,10,16,0.516129032,0.586248675,0.516129032,0.415795626
46,8,32,8,FALSE,32,0.5,20,16,0.655913978,0.527927121,0.655913978,0.572860963
47,8,32,8,FALSE,32,0.8,10,16,0.52688172,0.301829843,0.52688172,0.37994389
48,8,32,8,FALSE,32,0.8,20,16,0.612903226,0.491854253,0.612903226,0.524756009
49,8,64,3,TRUE,16,0,10,16,0.462365591,0.45095554,0.462365591,0.436766835
50,8,64,3,TRUE,16,0,20,16,0.569892473,0.684312104,0.569892473,0.571856817
51,8,64,3,TRUE,16,0.5,10,16,0.419354839,0.461087736,0.419354839,0.401093055
52,8,64,3,TRUE,16,0.5,20,16,0.440860215,0.377285566,0.440860215,0.387349779
53,8,64,3,TRUE,16,0.8,10,16,0.580645161,0.40727552,0.580645161,0.475408463
54,8,64,3,TRUE,16,0.8,20,16,0.301075269,0.26059456,0.301075269,0.262843489
55,8,64,3,TRUE,32,0,10,16,0.462365591,0.618185248,0.462365591,0.483229053
56,8,64,3,TRUE,32,0,20,16,0.537634409,0.529806394,0.537634409,0.511588278
57,8,64,3,TRUE,32,0.5,10,16,0.47311828,0.400409626,0.47311828,0.41218638
58,8,64,3,TRUE,32,0.5,20,16,0.440860215,0.765360983,0.440860215,0.440231443
59,8,64,3,TRUE,32,0.8,10,16,0.52688172,0.357240906,0.52688172,0.419373586
60,8,64,3,TRUE,32,0.8,20,16,0.408602151,0.366610958,0.408602151,0.369890202
61,8,64,3,FALSE,16,0,10,16,0.52688172,0.325994197,0.52688172,0.391665843
62,8,64,3,FALSE,16,0,20,16,0.591397849,0.445840226,0.591397849,0.505827132
63,8,64,3,FALSE,16,0.5,10,16,0.537634409,0.522003935,0.537634409,0.403950672
64,8,64,3,FALSE,16,0.5,20,16,0.64516129,0.534261016,0.64516129,0.567473213
65,8,64,3,FALSE,16,0.8,10,16,0.279569892,0.078159325,0.279569892,0.122164995
66,8,64,3,FALSE,16,0.8,20,16,0.623655914,0.531233999,0.623655914,0.542879622
67,8,64,3,FALSE,32,0,10,16,0.623655914,0.511606076,0.623655914,0.54120242
68,8,64,3,FALSE,32,0,20,16,0.698924731,0.625127334,0.698924731,0.649457184
69,8,64,3,FALSE,32,0.5,10,16,0.548387097,0.407885305,0.548387097,0.422346693
70,8,64,3,FALSE,32,0.5,20,16,0.612903226,0.517482517,0.612903226,0.534907015
71,8,64,3,FALSE,32,0.8,10,16,0.505376344,0.284348865,0.505376344,0.361181435
72,8,64,3,FALSE,32,0.8,20,16,0.52688172,0.301829843,0.52688172,0.37994389
73,8,64,8,TRUE,16,0,10,16,0.35483871,0.266365355,0.35483871,0.284651021
74,8,64,8,TRUE,16,0,20,16,0.634408602,0.790834613,0.634408602,0.657309634
75,8,64,8,TRUE,16,0.5,10,16,0.268817204,0.442283365,0.268817204,0.301816191
76,8,64,8,TRUE,16,0.5,20,16,0.52688172,0.824142345,0.52688172,0.515310589
77,8,64,8,TRUE,16,0.8,10,16,0.23655914,0.271111111,0.23655914,0.229411783
78,8,64,8,TRUE,16,0.8,20,16,0.505376344,0.632467145,0.505376344,0.523356289
79,8,64,8,TRUE,32,0,10,16,0.709677419,0.751971326,0.709677419,0.69604309
80,8,64,8,TRUE,32,0,20,16,0.666666667,0.762176463,0.666666667,0.687125471
81,8,64,8,TRUE,32,0.5,10,16,0.494623656,0.414823349,0.494623656,0.42404957
82,8,64,8,TRUE,32,0.5,20,16,0.591397849,0.687738785,0.591397849,0.602573334
83,8,64,8,TRUE,32,0.8,10,16,0.451612903,0.506605223,0.451612903,0.40144408
84,8,64,8,TRUE,32,0.8,20,16,0.52688172,0.539498208,0.52688172,0.505084143
85,8,64,8,FALSE,16,0,10,16,0.677419355,0.60341556,0.677419355,0.615426868
86,8,64,8,FALSE,16,0,20,16,0.698924731,0.624214495,0.698924731,0.645036509
87,8,64,8,FALSE,16,0.5,10,16,0.537634409,0.374162381,0.537634409,0.41635887
88,8,64,8,FALSE,16,0.5,20,16,0.677419355,0.544283414,0.677419355,0.594979731
89,8,64,8,FALSE,16,0.8,10,16,0.537634409,0.336044679,0.537634409,0.400477897
90,8,64,8,FALSE,16,0.8,20,16,0.655913978,0.518736545,0.655913978,0.576298143
91,8,64,8,FALSE,32,0,10,16,0.655913978,0.549230445,0.655913978,0.58069346
92,8,64,8,FALSE,32,0,20,16,0.76344086,0.714376073,0.76344086,0.724470782
93,8,64,8,FALSE,32,0.5,10,16,0.580645161,0.44034734,0.580645161,0.496707272
94,8,64,8,FALSE,32,0.5,20,16,0.677419355,0.610162345,0.677419355,0.616913041
95,8,64,8,FALSE,32,0.8,10,16,0.516129032,0.371194911,0.516129032,0.401531179
96,8,64,8,FALSE,32,0.8,20,16,0.580645161,0.456140634,0.580645161,0.485790397
97,8,128,3,TRUE,16,0,10,16,0.365591398,0.449152542,0.365591398,0.350776583
98,8,128,3,TRUE,16,0,20,16,0.569892473,0.529579231,0.569892473,0.531276884
99,8,128,3,TRUE,16,0.5,10,16,0.107526882,0.115196757,0.107526882,0.086933123
100,8,128,3,TRUE,16,0.5,20,16,0.64516129,0.599688629,0.64516129,0.583859321
101,8,128,3,TRUE,16,0.8,10,16,0.322580645,0.260884893,0.322580645,0.268571572
102,8,128,3,TRUE,16,0.8,20,16,0.52688172,0.469804923,0.52688172,0.489789333
103,8,128,3,TRUE,32,0,10,16,0.612903226,0.657706093,0.612903226,0.548268193
104,8,128,3,TRUE,32,0,20,16,0.537634409,0.749502887,0.537634409,0.54580046
105,8,128,3,TRUE,32,0.5,10,16,0.483870968,0.381959126,0.483870968,0.407262988
106,8,128,3,TRUE,32,0.5,20,16,0.591397849,0.489799477,0.591397849,0.517536347
107,8,128,3,TRUE,32,0.8,10,16,0.559139785,0.377225454,0.559139785,0.430377187
108,8,128,3,TRUE,32,0.8,20,16,0.537634409,0.570195038,0.537634409,0.465014679
109,8,128,3,FALSE,16,0,10,16,0.580645161,0.545485578,0.580645161,0.490225927
110,8,128,3,FALSE,16,0,20,16,0.612903226,0.519614297,0.612903226,0.542865446
111,8,128,3,FALSE,16,0.5,10,16,0.580645161,0.586693548,0.580645161,0.491278375
112,8,128,3,FALSE,16,0.5,20,16,0.655913978,0.525931483,0.655913978,0.576801205
113,8,128,3,FALSE,16,0.8,10,16,0.537634409,0.364958887,0.537634409,0.412720201
114,8,128,3,FALSE,16,0.8,20,16,0.580645161,0.545485578,0.580645161,0.490225927
115,8,128,3,FALSE,32,0,10,16,0.548387097,0.4379717,0.548387097,0.471378979
116,8,128,3,FALSE,32,0,20,16,0.666666667,0.653276527,0.666666667,0.623686161
117,8,128,3,FALSE,32,0.5,10,16,0.537634409,0.364958887,0.537634409,0.412720201
118,8,128,3,FALSE,32,0.5,20,16,0.591397849,0.513620072,0.591397849,0.503911692
119,8,128,3,FALSE,32,0.8,10,16,0.537634409,0.364958887,0.537634409,0.412720201
120,8,128,3,FALSE,32,0.8,20,16,0.602150538,0.48637249,0.602150538,0.517494453
121,8,128,8,TRUE,16,0,10,16,0.612903226,0.727325482,0.612903226,0.579607464
122,8,128,8,TRUE,16,0,20,16,0.655913978,0.770774105,0.655913978,0.676720475
123,8,128,8,TRUE,16,0.5,10,16,0.344086022,0.316992331,0.344086022,0.306347774
124,8,128,8,TRUE,16,0.5,20,16,0.408602151,0.398924731,0.408602151,0.34903978
125,8,128,8,TRUE,16,0.8,10,16,0.344086022,0.303763441,0.344086022,0.306135357
126,8,128,8,TRUE,16,0.8,20,16,0.580645161,0.772017409,0.580645161,0.595662384
127,8,128,8,TRUE,32,0,10,16,0.462365591,0.508824031,0.462365591,0.439151564
128,8,128,8,TRUE,32,0,20,16,0.784946237,0.825550435,0.784946237,0.791614424
129,8,128,8,TRUE,32,0.5,10,16,0.462365591,0.519873272,0.462365591,0.447960689
130,8,128,8,TRUE,32,0.5,20,16,0.602150538,0.824731183,0.602150538,0.614395672
131,8,128,8,TRUE,32,0.8,10,16,0.569892473,0.728879474,0.569892473,0.559035746
132,8,128,8,TRUE,32,0.8,20,16,0.698924731,0.796893668,0.698924731,0.703200458
133,8,128,8,FALSE,16,0,10,16,0.698924731,0.61542526,0.698924731,0.628992217
134,8,128,8,FALSE,16,0,20,16,0.76344086,0.737973967,0.76344086,0.732289574
135,8,128,8,FALSE,16,0.5,10,16,0.688172043,0.600678443,0.688172043,0.618638985
136,8,128,8,FALSE,16,0.5,20,16,0.709677419,0.560648531,0.709677419,0.621761235
137,8,128,8,FALSE,16,0.8,10,16,0.279569892,0.082600196,0.279569892,0.127523109
138,8,128,8,FALSE,16,0.8,20,16,0.666666667,0.551971326,0.666666667,0.588568195
139,8,128,8,FALSE,32,0,10,16,0.666666667,0.569482847,0.666666667,0.602798839
140,8,128,8,FALSE,32,0,20,16,0.817204301,0.801889866,0.817204301,0.799643313
141,8,128,8,FALSE,32,0.5,10,16,0.666666667,0.58125785,0.666666667,0.591127595
142,8,128,8,FALSE,32,0.5,20,16,0.709677419,0.644289208,0.709677419,0.654653976
143,8,128,8,FALSE,32,0.8,10,16,0.602150538,0.467228261,0.602150538,0.519333999
144,8,128,8,FALSE,32,0.8,20,16,0.655913978,0.541218638,0.655913978,0.577815507
145,32,32,3,TRUE,16,0,10,16,0.548387097,0.749074402,0.548387097,0.533588761
146,32,32,3,TRUE,16,0,20,16,0.64516129,0.768911526,0.64516129,0.64502315
147,32,32,3,TRUE,16,0.5,10,16,0.52688172,0.671582181,0.52688172,0.516536603
148,32,32,3,TRUE,16,0.5,20,16,0.462365591,0.603942652,0.462365591,0.459669571
149,32,32,3,TRUE,16,0.8,10,16,0.548387097,0.477006808,0.548387097,0.491016709
150,32,32,3,TRUE,16,0.8,20,16,0.569892473,0.700630687,0.569892473,0.561240885
151,32,32,3,TRUE,32,0,10,16,0.666666667,0.768927488,0.666666667,0.639400682
152,32,32,3,TRUE,32,0,20,16,0.709677419,0.803837918,0.709677419,0.706138485
153,32,32,3,TRUE,32,0.5,10,16,0.634408602,0.645771372,0.634408602,0.577601021
154,32,32,3,TRUE,32,0.5,20,16,0.698924731,0.770651486,0.698924731,0.712673782
155,32,32,3,TRUE,32,0.8,10,16,0.559139785,0.51559838,0.559139785,0.491014196
156,32,32,3,TRUE,32,0.8,20,16,0.634408602,0.625107572,0.634408602,0.597871563
157,32,32,3,FALSE,16,0,10,16,0.655913978,0.566158901,0.655913978,0.588823119
158,32,32,3,FALSE,16,0,20,16,0.666666667,0.54036192,0.666666667,0.59095205
159,32,32,3,FALSE,16,0.5,10,16,0.559139785,0.450253368,0.559139785,0.448388918
160,32,32,3,FALSE,16,0.5,20,16,0.688172043,0.601221134,0.688172043,0.62006781
161,32,32,3,FALSE,16,0.8,10,16,0.602150538,0.49412991,0.602150538,0.518809659
162,32,32,3,FALSE,16,0.8,20,16,0.655913978,0.561643056,0.655913978,0.578937381
163,32,32,3,FALSE,32,0,10,16,0.612903226,0.493809058,0.612903226,0.539533585
164,32,32,3,FALSE,32,0,20,16,0.806451613,0.80268119,0.806451613,0.785613299
165,32,32,3,FALSE,32,0.5,10,16,0.580645161,0.454453236,0.580645161,0.483231663
166,32,32,3,FALSE,32,0.5,20,16,0.677419355,0.572580645,0.677419355,0.599761051
167,32,32,3,FALSE,32,0.8,10,16,0.569892473,0.444607364,0.569892473,0.492780338
168,32,32,3,FALSE,32,0.8,20,16,0.64516129,0.51797235,0.64516129,0.568914956
169,32,32,8,TRUE,16,0,10,16,0.612903226,0.720560443,0.612903226,0.533464186
170,32,32,8,TRUE,16,0,20,16,0.655913978,0.730238341,0.655913978,0.667665268
171,32,32,8,TRUE,16,0.5,10,16,0.634408602,0.691039427,0.634408602,0.62390419
172,32,32,8,TRUE,16,0.5,20,16,0.677419355,0.7267661,0.677419355,0.668508875
173,32,32,8,TRUE,16,0.8,10,16,0.64516129,0.741484087,0.64516129,0.627737985
174,32,32,8,TRUE,16,0.8,20,16,0.698924731,0.768219833,0.698924731,0.685021649
